External Library Name, Link to License, License Name, Binaries using the license.
ffmpeg, https://github.com/FFmpeg/FFmpeg/blob/master/LICENSE.md, GPL-2.0-or-later, ./goldfish-webrtc-bridge ./emulator-check OpenglRender.so ./nimble_bridge ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/ffmpeg-3.4.5.tar.xz
picosha2, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/LICENSE, MIT, ./goldfish-webrtc-bridge android-emu-metrics.so OpenglRender.so ./nimble_bridge ./emulator-check ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel emugl_common.so ./qemu/linux-aarch64/qemu-system-aarch64, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/
hostapd, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev/NOTICE, BSD, ./goldfish-webrtc-bridge ./emulator-check OpenglRender.so ./nimble_bridge ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev
libselinux, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libselinux/NOTICE, CC-PDDC OR UNKNOWN, ./goldfish-webrtc-bridge android-emu-metrics.so OpenglRender.so ./nimble_bridge ./emulator-check android-emu-agents.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu-img ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 ./emulator emugl_common.so, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libselinux
angle, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, OpenglRender.so, https://chromium.googlesource.com/angle/angle
libcurl, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev/NOTICE, curl, ./goldfish-webrtc-bridge android-emu-metrics.so OpenglRender.so ./nimble_bridge ./emulator-check ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless android-emu-curl.so ./qemu/linux-aarch64/qemu-system-armel emugl_common.so ./emulator ./qemu/linux-aarch64/qemu-system-aarch64, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev
boringssl, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master/NOTICE, OpenSSL, ./goldfish-webrtc-bridge android-emu-metrics.so OpenglRender.so ./nimble_bridge ./emulator-check ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless android-emu-curl.so ./qemu/linux-aarch64/qemu-system-armel emugl_common.so ./emulator ./qemu/linux-aarch64/qemu-system-aarch64, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master
protobuf, BSD-3-Clause, BSD-3-Clause, ./goldfish-webrtc-bridge libprotobuf.so android-emu-metrics.so OpenglRender.so ./nimble_bridge ./emulator-check ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn android-emu-protos.so android-emu-tracing.so ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel emugl_common.so ./emulator ./qemu/linux-aarch64/qemu-system-aarch64, 
gtest, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master/LICENSE, BSD3, ./emulator, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master
mynewt-nmble, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/mynewt-nimble/LICENSE, Apache=2.0, ./nimble_bridge, 
vulkan-sdk, https://vulkan.lunarg.com/software/license/vulkan-1.2.162.1-linux-license-summary.txt, Apache-2.0, ./emulator, https://vulkan.lunarg.com/sdk/home
pixman-1, https://gitlab.freedesktop.org/pixman/pixman/blob/master/COPYING, MIT, ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/pixman-0.34.0.tar.gz
libunwind, https://github.com/libunwind/libunwind/blob/master/COPYING, MIT, ./goldfish-webrtc-bridge android-emu-metrics.so OpenglRender.so ./nimble_bridge ./emulator-check android-emu-agents.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu-img ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless android-emu-curl.so ./qemu/linux-aarch64/qemu-system-armel emugl_common.so ./emulator ./qemu/linux-aarch64/qemu-system-aarch64, https://github.com/libunwind/libunwind/releases/tag/v1.3.1
swiftshader, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev/LICENSE.txt, Apache-2.0, lib64/gles_swiftshader/libGLESv2.so lib64/gles_swiftshader/libGLES_CM.so lib64/gles_swiftshader/libEGL.so ./emulator, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev
